text_akhir,polarity_score,polarity
halo guyssgini gini kasih tau kalo game hpnya dibawah ram kayaknya main guyssoalnya main hp lamaku ram lupa nyoba donlod among us kannah tuh layarnya item mulunah ganti hp ramnya main among uslancar gaada ngeleg ngelegpaling klo sinyal hilang wifi kebanyakan orang maketerimakasi gaada samsek bug,-14,negative
tolong tolong banget ni gimana wifi lancar singalnya lancar muluk play oflaine lo maksudnya gitu tolong diperbaiki ok aja,12,positive
mainin mode favorit ilang mimpostor pelejer afk gampang tolong mode,-5,negative
gamenya udah bagus cuman mode hide seek pas impostornya tombol killnya ngeselin banget kepencet jarak deket banget crewnya bilang hidup tombolnya tolong perbaiki,-4,negative
gemes bagus kalo mabar temen gk liat tutorial gk foto aslinya beda udah apdate kasih bintang karna gk dijadikan teman mabar kalo private pikir karna gk segitu aja makasih,0,neutral
game bagus cmn bosen map ajamohon cepat riliskan map barudan tolong perbaiki bug mengganggu bermainhampir main among us bug menerusbug udh discus gk nge vote player tulisan muncul body report layar berpindah chat yg bacatidak tulis bunyi suara chat masuk game dsbtolong perbaiki,3,positive
game favorit update bagus semangat innersloth,3,positive
gamenya keren banget udah bagus recommended banget nih game saran update among us tambahkan bahasa indonesia ngerti bahasa inggris pas meeting bingung ngomong tetep bagus deh dummy bot bergerak berinteraksi mode praktekoffline perbaiki loading mode offline cepat selebihnya aja tetep bagus semoga ditambahin,-9,negative
gamenya seru banget seru parah pokoknya biarpun temen suka difitnah yg seru pokoknya wkwk saran update tolong tambahkan fitur voice chat pemain kesulitan mengetik ditemukan mayat dead body reported emergency meeting sistem onoff voice chat menyesuaikan ingame perbanyak server server asia penuh overall gamenya keren semoga developer dana update,-17,negative
oke game bagus mengasah kemampuan berpikir kitaoke lumayankenapa bintang hacker detected game among ussaya malas kesal hacer berbuat curangsaya suka itudan game selesai item item among us petbajuhat dllsemoga aplikasi among us nge duplikat perbuatan buruk aplikasi among us versi bajakankumohon hacer awas,-15,negative
bug victory kill cooldown pengaturan detik pindah app sebentar yg rasain semoga fix selebihnya gamenya keren,-7,negative
game seru banget belom download saranin download kekurangan jaringannya mesti jelek udah main lag otomatis menyenangkan map tolong tambahin biar seru tambahin kayak add teman biar gampang makasih,-5,negative
gamenya seru pas awalawal download trus kayak ngebugngelag gitu memory trus jaringan bagus pake wifii map kadang error tarus tambahin voice chat kalo ngetik kadangkadang hambatan keburu fitnah orang dah gitu aja,-12,negative
game bagus menyukai tolong tambahkan tambahkan job impostor crewmate rank player menang xp rank tambahkan map tambahkan map berbentuk pesawat toppat clan henry stickmin collection memberitahukan bug terkadang karakter gerakan,10,positive
well segi gameplay bagus tugas dilakuin menang ganggu disconnected jaringan dipakai bermasalah biarpun ganti server disconnected harap developer diperbaiki meningkatkan kenyamanan game thanks developer,-7,negative
game bagus game pc kekurangannya game suka bug gambarnya freeze disconected memencet emergency meetingkadang suka freeze berkomunikasi tim berharap bug perbaiki merugikan playernya,5,positive
tolong develop update yg aneh visibilityjarak pengelihatan bermain susah maksud develop menantang visibilityjarak pengelihatan yg nyaman tolong develop kembalikan visibility jarak pengelihatan yg sekian terimakasih,6,positive
mohon tolong fitur sepertiadd friendsundang teman bermain koinuang beli pakaianpet jaringan distabilkan mapnya diperbanyakdan mode sekian terimakasih depelover tolong dibaca semoga fitur dinginkan,5,positive
game bagus bangetdah dah beli skin pet trus banget jdi impost kendala pas selesai votetrus maenkenapa black screen tolong donk developer game among usdiperbaiki server onlinenya biar nggak bug blackscreen terima kasih,0,neutral
mainnya menarik developer tolong update tolong perbaiki kualitas gamenya dissconect perbanyak map permainan teman kalo tambahin voice berbicara pemain kurangi orang memakai cheat karakter mainnya warnanya tolong ditambahin kalo udah terpenuhi among us diminati,1,positive
